id,name,city,rating,rating_count,cuisine,cost,link
488746,Indian Biryani house,Raipur,4,50,Biryani,250,https://www.swiggy.com/restaurants/indian-biryani-house-moudhapara-raipur-488746
488766,Godavari Ruchullu,Pune,3.9,100,Andhra,250,https://www.swiggy.com/restaurants/godavari-ruchullu-magarpatta-pune-488766
488769,Chaayos Chai+Snacks=Relax,Delhi,4.3,50,Bakery,250,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-naraina-delhi-488769
488770,Ghee and Turmeric,Delhi,4,20,North Indian,500,https://www.swiggy.com/restaurants/ghee-and-turmeric-naraina-delhi-488770
488771,Chaayos Chai+Snacks=Relax,Bangalore,4.3,100,Bakery,250,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-rr-nagar-bangalore-488771
488772,Ghee and Turmeric,Bangalore,4.1,50,North Indian,500,https://www.swiggy.com/restaurants/ghee-and-turmeric-rr-nagar-bangalore-488772
488773,Chaayos Chai+Snacks=Relax,Bangalore,4.3,100,Bakery,250,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-kadugodi-bangalore-488773
488774,Ghee and Turmeric,Bangalore,4,100,North Indian,500,https://www.swiggy.com/restaurants/ghee-and-turmeric-kadugodi-bangalore-488774
488775,Chaayos Chai+Snacks=Relax, New BEL Road,4.4,50,Bakery,250,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-rt-nagar-bangalore-488775
488779,Chaayos Chai+Snacks=Relax,Bangalore,4.4,50,Bakery,250,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-jayanagar-bangalore-488779
488782,Anandha Biryani House,Bangalore,4.1,50,Biryani,300,https://www.swiggy.com/restaurants/anandha-biryani-house-kadubeesanahalli-bangalore-488782
488783,MINERVA EAT STREET,Vijayawada,3.6,20,Pizzas,150,https://www.swiggy.com/restaurants/minerva-eat-street-governorpet-islampet-vijayawada-488783
488805,Rajwadi food corner,Bhopal,4.7,50,Indian,600,https://www.swiggy.com/restaurants/rajwadi-food-corner-piplani-bhopal-488805
488811,Second love,Bhopal,4.7,50,Indian,350,https://www.swiggy.com/restaurants/second-love-piplani-bhopal-488811
488821,Sri polamamba Alpha hotel,Vizag,3.2,20,Chinese,200,https://www.swiggy.com/restaurants/sri-polamamba-alpha-hotel-gajuwaka-vizag-488821
488826,Lassi house,Bhopal,4.6,50,Fast Food,680,https://www.swiggy.com/restaurants/lassi-house-piplani-bhopal-488826
488831,Absolute Shawarma,Bangalore,3.4,20,Arabian,250,https://www.swiggy.com/restaurants/absolute-shawarma-kadugodi-bangalore-488831
488834,Flying Apron,Chhapra,3.1,20,Chinese,400,https://www.swiggy.com/restaurants/flying-apron-chhapra-city-chhapra-488834
488839,KABAB MALL,Bangalore,3.3,20,Kebabs,300,https://www.swiggy.com/restaurants/kabab-mall-kanakapura-road-bangalore-488839
488846,Kanthari Restaurant,Changanassery,4.2,50,North Indian,300,https://www.swiggy.com/restaurants/kanthari-restaurant-town-changanassery-thiruvalla-488846
488847,Baycho,Kozhikode,4,50,Kerala,400,https://www.swiggy.com/restaurants/baycho-mavoor-thondayad-junction-near-crescent-building-kozhikode-488847
488848,Taste Magiq,Changanassery,3.8,20,Indian,300,https://www.swiggy.com/restaurants/taste-magiq-town-chanaganassery-thiruvalla-488848
488871,Chicken Paradise,Chikmagalur,2.8,20,Biryani,200,https://www.swiggy.com/restaurants/chicken-paradise-kadur-chikmagalur-488871
488887,BITTU THE DHABA,Kurukshetra,3.3,100,North Indian,250,https://www.swiggy.com/restaurants/bittu-the-dhaba-air-colony-kurukshetra-488887
488888,Subh food. Services,Bhopal,4.8,50,Indian,500,https://www.swiggy.com/restaurants/subh-food-services-piplani-bhopal-488888
488903,Big Bowl Company,Mysore,3.7,100,Chinese,250,https://www.swiggy.com/restaurants/big-bowl-company-mysore-south-mysore-488903
488907,Rolls Mania,Lucknow,3.9,100,Fast Food,300,https://www.swiggy.com/restaurants/rolls-mania-gomti-nagar-lucknow-488907
488910,SUBWAY,Pathankot,3.9,20,Healthy Food,250,https://www.swiggy.com/restaurants/subway-patel-chowk-pathankot-488910
488913,THE PLANET PIZZA CAFE,Pathankot,3.7,50,Italian,250,https://www.swiggy.com/restaurants/the-planet-pizza-cafe-patel-chowk-pathankot-488913
488920,Fitness Cafe,Phagwara,3.3,20,Fast Food,200,https://www.swiggy.com/restaurants/fitness-cafe-phagwara-central-phagwara-488920
488922,The Legendairy Milkshakes,Nellore,3.9,50,Beverages,250,https://www.swiggy.com/restaurants/the-legendairy-milkshakes-nellore-area-nellore-488922
488924,Ice Cream Land And Cafe,Phagwara,4.4,20,Ice Cream,200,https://www.swiggy.com/restaurants/ice-cream-land-and-cafe-phagwara-central-phagwara-488924
488926,Bikky Hotel,Purnea,3,20,Thalis,200,https://www.swiggy.com/restaurants/bikky-hotel-bhagalpur-purnea-purnea-488926
488930,Thali @99,Chandigarh,4,20,Pizzas,300,https://www.swiggy.com/restaurants/thali-99-south-chd-industrial-area-phase-1-chandigarh-488930
488936,Gokul Dhaam,Purnea,2.8,20,Sweets,250,https://www.swiggy.com/restaurants/gokul-dhaam-purnea-purnea-488936
488937,Tom And Jerry Pizza,Bathinda,3.4,20,Pizzas,100,https://www.swiggy.com/restaurants/tom-and-jerry-pizza-bathinda-city-bathinda-488937
488960,Tinku's,Indore,3.9,50,Fast Food,200,https://www.swiggy.com/restaurants/tinkus-new-palasia-indore-488960
488962,10D Biryani Express,Hyderabad,3.7,100,Biryani,500,https://www.swiggy.com/restaurants/10d-biryani-express-kompally-hyderabad-488962
488971,TFC (TASTY FOOD COURT),Rajahmundry,3.9,50,Fast Food,300,https://www.swiggy.com/restaurants/tfc-tasty-food-court-tilak-road-rajahmundry-488971
488984,HUNGRY OWLS,Kolkata,4,20,Chinese,400,https://www.swiggy.com/restaurants/hungry-owls-bansdroni-kolkata-488984
